Gene Name,Signal,Cluster Assignment (L.v.),Membership Score (L.v.),Cluster Assignment (H.t.),Membership Score (H.t.),Cluster Assignment (H.e.),Membership Score (H.e.)
Nodal,Genus Change,5,0.48552396,6,0.73701041,6,0.96541281
Otx,Genus Change,4,0.33293366,5,0.87469702,5,0.49775141
Shr2,Genus Change,6,0.72311483,5,0.43706699,5,0.81896127
Six1/2,Genus Change,7,0.53140583,6,0.97178463,6,0.89027695
Tgif,Genus Change,7,0.42147243,6,0.59059497,6,0.68020244
Wnt4,Genus Change,1,0.57479059,4,0.52788912,4,0.93903562
Apobec,H.e. Branch Change,6,0.53184305,6,0.72176429,7,0.3143784
Bmp5/6/7/8,H.e. Branch Change,5,0.24447152,5,0.87044811,1,0.39168145
Brn1-2-4,H.e. Branch Change,7,0.80963311,7,0.75212747,2,0.88993659
C-lectin,H.e. Branch Change,6,0.99296839,6,0.98858041,VLE,1
Cara7LA/Can1,H.e. Branch Change,7,0.97332181,7,0.75951746,VLE,1
Dlx,H.e. Branch Change,6,0.78155306,6,0.90723764,7,0.89692158
Eve,H.e. Branch Change,5,0.61514162,5,0.74841816,6,0.97085573
Fgf9/16/20,H.e. Branch Change,6,0.99452532,6,0.95120291,7,0.61127622
Ficolin,H.e. Branch Change,6,0.9843747,6,0.98584307,5,0.55863404
FoxB,H.e. Branch Change,6,0.98844364,6,0.77959879,7,0.95946839
FoxC,H.e. Branch Change,7,0.77803983,7,0.91194134,6,0.70424047
Gsc,H.e. Branch Change,6,0.97969499,6,0.95184792,5,0.5580696
HesC,H.e. Branch Change,5,0.92304296,5,0.76470418,6,0.61126711
Hox7,H.e. Branch Change,6,0.49222807,6,0.58118205,7,0.68580289
Msp130,H.e. Branch Change,6,0.98188427,6,0.9888585,7,0.90886185
Myc,H.e. Branch Change,6,0.9715617,6,0.96956227,5,0.78681736
P133,H.e. Branch Change,6,0.97639682,6,0.8955036,VLE,1
P16rel2,H.e. Branch Change,6,0.97254534,6,0.97951078,VLE,1
P19,H.e. Branch Change,6,0.98422286,6,0.98581415,7,0.96105667
p58-b,H.e. Branch Change,6,0.98065035,6,0.99221708,VLE,1
Pax2-5-8,H.e. Branch Change,6,0.82889321,6,0.73330717,7,0.9001824
Pdgfr/vegfrl,H.e. Branch Change,6,0.88460036,6,0.99054178,2,0.98064197
Pks2,H.e. Branch Change,6,0.85561189,6,0.88739749,7,0.96510438
RhoA,H.e. Branch Change,7,0.66580398,7,0.75112324,6,0.91775162
ScratchX,H.e. Branch Change,7,0.95122366,7,0.91064523,VLE,1
Sm29,H.e. Branch Change,6,0.91541484,6,0.9836963,VLE,1
Sm37,H.e. Branch Change,6,0.89455634,6,0.97682021,VLE,1
Sm49/PMC1,H.e. Branch Change,6,0.96594465,6,0.98217638,VLE,1
Soxb1,H.e. Branch Change,3,0.77894006,3,0.84069058,2,0.29184231
SoxC,H.e. Branch Change,6,0.97616759,6,0.95810231,5,0.73157127
Tel,H.e. Branch Change,4,0.68483671,4,0.75021998,5,0.6827783
Ttrspn_19/net7,H.e. Branch Change,6,0.95112461,6,0.99138254,VLE,1
Vegf3,H.e. Branch Change,6,0.99359535,6,0.97797165,VLE,1
Wnt5,H.e. Branch Change,6,0.95870338,6,0.99198168,5,0.54053813
Wnt8,H.e. Branch Change,5,0.5826788,5,0.68037845,6,0.9932823
Dr/Dr_1,H.t. Branch Change,6,0.67264596,7,0.93063626,6,0.58532536
Ets1/2,H.t. Branch Change,3,0.80982363,2,0.58656146,3,0.70172112
FoxO/FoxO_1,H.t. Branch Change,7,0.54374666,4,0.36645682,7,0.38436081
Pitx2,H.t. Branch Change,7,0.79698674,VLE,1,7,0.89529514
Tbr,H.t. Branch Change,2,0.43096458,1,0.24371286,2,0.60731073
Unvn,H.t. Branch Change,1,0.78375712,2,0.64910175,1,0.70596131
