Orthogroup	LORF_EL90.pep	SPU_peptide
OG0000008	TRINITY_DN35209_c0_g1_i1.p1, TRINITY_DN35209_c0_g2_i1.p1	SPU_009247, SPU_026665, SPU_026150, SPU_008402, SPU_017140, SPU_002539, SPU_011324, SPU_027661, SPU_016424, SPU_017699, SPU_010484, SPU_025539, SPU_026435, SPU_012973, SPU_022119, SPU_021464, SPU_016719, SPU_003738, SPU_003734, SPU_004979
OG0000009	TRINITY_DN68318_c0_g1_i1.p1	SPU_025214
OG0000009	TRINITY_DN98384_c0_g1_i1.p1	SPU_013595, SPU_028824, SPU_028822, SPU_027943
OG0000009	TRINITY_DN79843_c0_g1_i1.p1	SPU_024563
OG0000010	TRINITY_DN72839_c0_g1_i1.p1	SPU_019351, SPU_019349, SPU_005983, SPU_012845, SPU_030199, SPU_030200, SPU_030196, SPU_030198, SPU_030195, SPU_030202, SPU_030194, SPU_030201, SPU_030187, SPU_030193, SPU_030188, SPU_030190, SPU_030192, SPU_030191, SPU_027904
OG0000011	TRINITY_DN23187_c0_g1_i1.p1, TRINITY_DN34527_c0_g1_i1.p1, TRINITY_DN42403_c0_g1_i6.p1, TRINITY_DN17592_c0_g1_i4.p2, TRINITY_DN33021_c0_g1_i10.p1, TRINITY_DN31699_c0_g1_i4.p1, TRINITY_DN31699_c0_g1_i1.p1, TRINITY_DN42166_c0_g1_i2.p1, TRINITY_DN79436_c0_g1_i1.p1, TRINITY_DN17106_c1_g1_i1.p1, TRINITY_DN60091_c0_g1_i4.p1, TRINITY_DN52646_c0_g1_i1.p1, TRINITY_DN18134_c0_g1_i1.p1, TRINITY_DN20561_c0_g1_i2.p1, TRINITY_DN61326_c0_g1_i1.p1, TRINITY_DN43346_c0_g1_i2.p1, TRINITY_DN45540_c0_g1_i2.p1, TRINITY_DN48062_c0_g1_i1.p1	SPU_017709
OG0000012	TRINITY_DN82227_c0_g1_i4.p1, TRINITY_DN82227_c0_g1_i6.p1, TRINITY_DN45193_c0_g1_i6.p1, TRINITY_DN45193_c0_g1_i4.p1, TRINITY_DN51900_c0_g1_i7.p1	SPU_013417, SPU_007101, SPU_001636, SPU_007100, SPU_009195, SPU_020340, SPU_002258, SPU_011802, SPU_009321, SPU_001754, SPU_021476, SPU_027806, SPU_000175, SPU_014192
OG0000013	TRINITY_DN64607_c0_g1_i1.p1	SPU_026991, SPU_006052
OG0000013	TRINITY_DN40302_c0_g1_i4.p1, TRINITY_DN40302_c0_g1_i2.p1	SPU_025664, SPU_005015, SPU_024061, SPU_020335, SPU_015381, SPU_003583, SPU_004072, SPU_022518, SPU_013172, SPU_006514, SPU_001222, SPU_023502, SPU_016143, SPU_022519
OG0000014	TRINITY_DN3740_c0_g1_i7.p1	SPU_023474, SPU_017341, SPU_008547, SPU_013504, SPU_004053, SPU_015972, SPU_021447, SPU_016921, SPU_009017, SPU_025680, SPU_002758, SPU_025077, SPU_027513, SPU_026921, SPU_002423, SPU_000672, SPU_028681
OG0000015	TRINITY_DN110830_c0_g1_i1.p1	SPU_011924, SPU_007761, SPU_016813, SPU_016814, SPU_015509, SPU_006316, SPU_015510, SPU_027866, SPU_022730, SPU_025412, SPU_010836, SPU_015072, SPU_015073, SPU_015078, SPU_015075, SPU_015077, SPU_015076
OG0000017	TRINITY_DN15019_c0_g1_i9.p1, TRINITY_DN15019_c0_g1_i4.p1	SPU_011344, SPU_021589, SPU_007791, SPU_027686, SPU_019659, SPU_013220, SPU_002763, SPU_023923, SPU_014858, SPU_027687, SPU_001159, SPU_016530
OG0000017	TRINITY_DN109560_c0_g1_i1.p1	SPU_011804
OG0000018	TRINITY_DN64986_c0_g1_i3.p1, TRINITY_DN106894_c0_g1_i1.p1	SPU_006360, SPU_010988, SPU_012237
OG0000018	TRINITY_DN64986_c0_g1_i3.p2	SPU_006450, SPU_025820, SPU_002040, SPU_002039, SPU_026363, SPU_006448, SPU_006449, SPU_002196, SPU_002038, SPU_025821
OG0000019	TRINITY_DN102067_c0_g1_i1.p1, TRINITY_DN115068_c0_g1_i1.p1	SPU_003095, SPU_027821, SPU_027820, SPU_018602, SPU_007074, SPU_003373, SPU_003372, SPU_001414, SPU_000715, SPU_008423, SPU_000714, SPU_028349, SPU_016730, SPU_004976
OG0000020	TRINITY_DN65263_c0_g1_i6.p1, TRINITY_DN65263_c0_g1_i4.p1, TRINITY_DN65263_c0_g1_i1.p1, TRINITY_DN78837_c0_g1_i1.p1, TRINITY_DN59168_c0_g1_i1.p1, TRINITY_DN7000_c0_g2_i5.p2, TRINITY_DN51152_c0_g1_i2.p1, TRINITY_DN72197_c0_g1_i1.p1, TRINITY_DN33746_c0_g1_i7.p1, TRINITY_DN78842_c0_g1_i1.p1, TRINITY_DN34255_c0_g1_i6.p1, TRINITY_DN54484_c0_g1_i1.p1, TRINITY_DN62929_c0_g1_i1.p1, TRINITY_DN46633_c0_g1_i5.p1	SPU_024592
OG0000021	TRINITY_DN35207_c0_g2_i1.p1, TRINITY_DN33378_c0_g2_i4.p1, TRINITY_DN33378_c0_g2_i2.p1, TRINITY_DN42287_c0_g1_i1.p1, TRINITY_DN42287_c0_g1_i4.p1, TRINITY_DN104561_c0_g1_i1.p1, TRINITY_DN84167_c0_g1_i1.p1, TRINITY_DN24349_c0_g1_i10.p1, TRINITY_DN24349_c0_g1_i5.p1, TRINITY_DN24349_c0_g1_i7.p2, TRINITY_DN40403_c0_g1_i1.p1, TRINITY_DN75469_c0_g1_i1.p1, TRINITY_DN107161_c0_g1_i1.p1, TRINITY_DN73480_c0_g1_i1.p1	SPU_012891
OG0000022	TRINITY_DN59104_c0_g1_i1.p1	SPU_030120, SPU_030118, SPU_030121, SPU_030125, SPU_030124, SPU_021194, SPU_023936, SPU_008150, SPU_021914, SPU_001231, SPU_006611, SPU_019881, SPU_030128, SPU_023934
OG0000023	TRINITY_DN46228_c0_g1_i1.p1, TRINITY_DN63184_c0_g1_i1.p1	SPU_023258, SPU_022509
OG0000023	TRINITY_DN67584_c0_g1_i1.p1, TRINITY_DN53859_c0_g1_i4.p1, TRINITY_DN10093_c0_g1_i5.p1, TRINITY_DN10093_c0_g1_i3.p1	SPU_011799, SPU_011800, SPU_028388, SPU_011801
OG0000023	TRINITY_DN40415_c0_g1_i1.p1, TRINITY_DN102989_c0_g1_i1.p1	SPU_006770
OG0000024	TRINITY_DN45722_c0_g1_i5.p1, TRINITY_DN35920_c0_g1_i17.p1, TRINITY_DN73627_c0_g1_i1.p1, TRINITY_DN8604_c0_g1_i1.p1	SPU_027261, SPU_027258, SPU_027264, SPU_027256, SPU_027257, SPU_027266, SPU_027260, SPU_027259, SPU_027267, SPU_027265, SPU_027263
OG0000025	TRINITY_DN36347_c0_g1_i3.p1, TRINITY_DN36347_c0_g1_i2.p1, TRINITY_DN36347_c0_g1_i5.p1	SPU_006019, SPU_005410
OG0000025	TRINITY_DN29599_c0_g1_i5.p1	SPU_026071, SPU_023550, SPU_020436, SPU_021478, SPU_003448, SPU_011433, SPU_022780, SPU_022394
OG0000026	TRINITY_DN76575_c0_g1_i4.p1, TRINITY_DN76575_c0_g1_i15.p1, TRINITY_DN76575_c0_g1_i3.p1, TRINITY_DN76575_c0_g1_i9.p1	SPU_026602
OG0000026	TRINITY_DN76575_c0_g1_i7.p1, TRINITY_DN76575_c0_g1_i11.p1, TRINITY_DN76575_c0_g1_i14.p1, TRINITY_DN76575_c0_g1_i8.p1, TRINITY_DN76575_c0_g1_i6.p1, TRINITY_DN76575_c0_g1_i13.p1, TRINITY_DN76575_c0_g1_i5.p1, TRINITY_DN76575_c0_g1_i2.p1	SPU_023102
OG0000027	TRINITY_DN72186_c0_g1_i1.p1, TRINITY_DN32401_c0_g1_i3.p1, TRINITY_DN32401_c0_g1_i1.p1	SPU_008224, SPU_010023, SPU_000340, SPU_022321, SPU_026061, SPU_002138, SPU_008497, SPU_012830, SPU_004270, SPU_005040, SPU_005042
OG0000028	TRINITY_DN70075_c0_g1_i1.p1, TRINITY_DN65502_c0_g1_i1.p1, TRINITY_DN92037_c0_g1_i1.p1	SPU_001338, SPU_011398, SPU_014470
OG0000028	TRINITY_DN3135_c1_g1_i1.p1	SPU_003317, SPU_003318, SPU_003320, SPU_003321, SPU_003319, SPU_003322
OG0000029	TRINITY_DN8008_c0_g2_i7.p1, TRINITY_DN8008_c0_g2_i2.p1, TRINITY_DN8008_c0_g2_i5.p1, TRINITY_DN29747_c0_g1_i1.p1, TRINITY_DN29747_c0_g1_i4.p1, TRINITY_DN62559_c0_g1_i1.p1, TRINITY_DN32726_c0_g1_i5.p1, TRINITY_DN32726_c0_g1_i6.p1	SPU_005076, SPU_005023, SPU_002468, SPU_009823, SPU_008887
OG0000030	TRINITY_DN9653_c0_g1_i4.p1	SPU_022294, SPU_013981, SPU_027858, SPU_014112, SPU_021844, SPU_002436, SPU_024975, SPU_003366, SPU_021243, SPU_005301, SPU_014495, SPU_026189
OG0000031	TRINITY_DN30945_c0_g1_i8.p1, TRINITY_DN30945_c0_g1_i3.p1, TRINITY_DN30945_c0_g1_i4.p1, TRINITY_DN11132_c0_g1_i8.p1, TRINITY_DN11132_c4_g2_i1.p1, TRINITY_DN34962_c0_g1_i1.p1, TRINITY_DN11132_c4_g1_i1.p1	SPU_020568, SPU_020570, SPU_016518, SPU_025850, SPU_025848, SPU_025849
OG0000032	TRINITY_DN27888_c0_g2_i1.p1, TRINITY_DN60036_c0_g1_i5.p1, TRINITY_DN64594_c0_g1_i1.p1	SPU_018344
OG0000032	TRINITY_DN403_c0_g2_i2.p2, TRINITY_DN17927_c0_g1_i3.p1, TRINITY_DN17927_c0_g1_i1.p1, TRINITY_DN51268_c0_g1_i2.p1, TRINITY_DN31172_c0_g1_i1.p1, TRINITY_DN34587_c0_g1_i5.p1, TRINITY_DN49713_c1_g1_i8.p1, TRINITY_DN28582_c1_g1_i1.p1	SPU_016320
OG0000033	TRINITY_DN113415_c0_g1_i1.p1	SPU_015562, SPU_025522
OG0000033	TRINITY_DN13647_c1_g1_i14.p1	SPU_008611
OG0000033	TRINITY_DN33780_c0_g1_i1.p1	SPU_023036, SPU_016599, SPU_019727, SPU_002974, SPU_009799, SPU_027132
OG0000034	TRINITY_DN101810_c0_g1_i1.p1, TRINITY_DN37259_c0_g1_i2.p1	SPU_001379
OG0000034	TRINITY_DN77855_c0_g1_i1.p1, TRINITY_DN29028_c0_g2_i1.p1, TRINITY_DN29028_c0_g1_i2.p1, TRINITY_DN37259_c0_g2_i1.p1	SPU_007534, SPU_005206, SPU_012680, SPU_006856, SPU_013110, SPU_017808
OG0000035	TRINITY_DN66511_c0_g1_i2.p1, TRINITY_DN66511_c0_g1_i1.p1, TRINITY_DN70105_c0_g1_i1.p1	SPU_028793, SPU_018451, SPU_021514, SPU_023053, SPU_005250, SPU_008832, SPU_000919, SPU_017383, SPU_022064, SPU_024152
OG0000036	TRINITY_DN101396_c0_g1_i1.p1, TRINITY_DN40812_c0_g1_i3.p2, TRINITY_DN40812_c0_g1_i5.p2	SPU_006201, SPU_019672, SPU_013001, SPU_021823, SPU_015729, SPU_004016, SPU_001615, SPU_003169, SPU_024375, SPU_024228
OG0000037	TRINITY_DN46668_c0_g1_i4.p1, TRINITY_DN55180_c0_g1_i1.p1	SPU_012362, SPU_008005, SPU_023185, SPU_026574, SPU_012065, SPU_004614, SPU_015160
OG0000037	TRINITY_DN55180_c0_g1_i9.p1, TRINITY_DN55180_c0_g1_i11.p1	SPU_018994, SPU_011181
OG0000038	TRINITY_DN111356_c0_g1_i1.p1	SPU_015186, SPU_026316, SPU_001839, SPU_001844, SPU_011545, SPU_001842, SPU_001179, SPU_001845, SPU_001843, SPU_001840, SPU_006575, SPU_001841
OG0000040	TRINITY_DN5941_c0_g2_i2.p1, TRINITY_DN12259_c0_g1_i2.p1, TRINITY_DN5941_c0_g1_i4.p1, TRINITY_DN16255_c0_g1_i12.p1, TRINITY_DN5941_c0_g2_i1.p1, TRINITY_DN22411_c0_g1_i5.p1, TRINITY_DN7801_c1_g1_i12.p2, TRINITY_DN1905_c0_g1_i4.p1, TRINITY_DN18983_c0_g1_i4.p1, TRINITY_DN2045_c1_g1_i1.p1, TRINITY_DN38058_c0_g1_i1.p1	SPU_018285
OG0000041	TRINITY_DN19032_c2_g1_i1.p1, TRINITY_DN52887_c0_g1_i3.p3	SPU_020658, SPU_011116, SPU_028647, SPU_026107, SPU_003117, SPU_012265, SPU_003795, SPU_020992, SPU_018627, SPU_026975
OG0000042	TRINITY_DN59141_c0_g1_i1.p1	SPU_013327
OG0000042	TRINITY_DN73828_c0_g1_i1.p1, TRINITY_DN93237_c0_g1_i1.p1, TRINITY_DN36241_c0_g1_i13.p1, TRINITY_DN36241_c0_g1_i5.p2, TRINITY_DN36241_c0_g1_i2.p1, TRINITY_DN36241_c0_g1_i5.p1	SPU_001738, SPU_027142, SPU_012873, SPU_028519
OG0000043	TRINITY_DN68069_c0_g1_i1.p1	SPU_001431, SPU_013419, SPU_001790, SPU_001947, SPU_001706, SPU_013421, SPU_013418, SPU_007488, SPU_001017, SPU_020724, SPU_013420
OG0000044	TRINITY_DN90311_c0_g1_i1.p1, TRINITY_DN69371_c0_g1_i1.p1, TRINITY_DN106486_c0_g1_i1.p1	SPU_019831
OG0000044	TRINITY_DN67702_c0_g1_i1.p1, TRINITY_DN105850_c0_g1_i1.p1	SPU_027273, SPU_026939, SPU_023358, SPU_028076, SPU_004772, SPU_007541
OG0000045	TRINITY_DN20093_c1_g1_i3.p1, TRINITY_DN61615_c0_g1_i1.p1, TRINITY_DN48079_c0_g1_i3.p1, TRINITY_DN48079_c0_g1_i4.p1, TRINITY_DN29658_c0_g1_i1.p1	SPU_028513, SPU_000120, SPU_002440, SPU_001082, SPU_014458, SPU_002771, SPU_007608
OG0000046	TRINITY_DN80348_c0_g1_i1.p1	SPU_000681, SPU_007806, SPU_003004, SPU_003003, SPU_013898, SPU_013896, SPU_013897, SPU_013900, SPU_013901, SPU_013899, SPU_003002
OG0000047	TRINITY_DN80507_c0_g1_i1.p1, TRINITY_DN109350_c0_g1_i1.p1	SPU_024424, SPU_012155, SPU_026037, SPU_019105, SPU_014297, SPU_019221, SPU_021955, SPU_016630, SPU_013469, SPU_001340
OG0000048	TRINITY_DN61377_c0_g1_i1.p1	SPU_020562, SPU_022355, SPU_012536
OG0000048	TRINITY_DN86453_c0_g1_i1.p1, TRINITY_DN28897_c3_g1_i4.p1	SPU_024855
OG0000048	TRINITY_DN41241_c0_g1_i5.p1, TRINITY_DN41241_c0_g1_i2.p1, TRINITY_DN41241_c0_g1_i5.p2	SPU_010008
OG0000049	TRINITY_DN41155_c0_g1_i1.p1, TRINITY_DN37085_c0_g1_i1.p1	SPU_024866, SPU_011050, SPU_006961, SPU_019563, SPU_017337, SPU_027397, SPU_011053, SPU_016724, SPU_016566
OG0000050	TRINITY_DN111598_c0_g1_i1.p1, TRINITY_DN70953_c0_g1_i1.p1	SPU_000585, SPU_023719, SPU_024415, SPU_010414, SPU_004175, SPU_010949, SPU_011023, SPU_017729, SPU_002195
OG0000051	TRINITY_DN88670_c0_g1_i1.p1	SPU_001548, SPU_006733, SPU_001781, SPU_024649, SPU_005462, SPU_017054, SPU_012523, SPU_002641, SPU_008597, SPU_019497
OG0000052	TRINITY_DN60219_c0_g1_i1.p1	SPU_022441, SPU_022070, SPU_011088, SPU_005732, SPU_027300, SPU_015206
OG0000052	TRINITY_DN57298_c0_g1_i1.p1	SPU_020569, SPU_015205, SPU_022442
OG0000053	TRINITY_DN45002_c0_g1_i5.p3	SPU_028346
OG0000053	TRINITY_DN45002_c0_g1_i5.p2, TRINITY_DN18375_c0_g1_i4.p2, TRINITY_DN18375_c0_g1_i4.p1	SPU_001544, SPU_015918, SPU_000264, SPU_005336, SPU_000265, SPU_023468
OG0000054	TRINITY_DN98498_c0_g1_i1.p1	SPU_021083, SPU_022764, SPU_022580, SPU_000748, SPU_025759, SPU_010823, SPU_013607, SPU_021268, SPU_021011, SPU_023943
OG0000055	TRINITY_DN1331_c0_g1_i6.p2, TRINITY_DN1331_c0_g1_i5.p2, TRINITY_DN1331_c0_g1_i3.p1, TRINITY_DN1331_c0_g1_i14.p1, TRINITY_DN1331_c0_g1_i28.p1, TRINITY_DN1331_c0_g1_i7.p1, TRINITY_DN1331_c0_g1_i11.p1, TRINITY_DN9621_c0_g1_i4.p1	SPU_001997, SPU_020246
OG0000056	TRINITY_DN66101_c0_g1_i1.p2, TRINITY_DN80748_c0_g1_i1.p1, TRINITY_DN10276_c1_g1_i1.p1, TRINITY_DN46919_c1_g1_i1.p1, TRINITY_DN60084_c1_g1_i3.p1, TRINITY_DN60084_c1_g1_i2.p1	SPU_012196, SPU_025096, SPU_009166, SPU_019517
OG0000057	TRINITY_DN26796_c0_g1_i3.p1, TRINITY_DN31918_c0_g1_i1.p2, TRINITY_DN31918_c0_g1_i2.p1, TRINITY_DN26796_c0_g1_i2.p1	SPU_019895, SPU_001787, SPU_002798, SPU_023710, SPU_003909, SPU_015428
OG0000059	TRINITY_DN52866_c0_g1_i1.p1, TRINITY_DN105624_c0_g1_i1.p1, TRINITY_DN89037_c0_g1_i2.p1, TRINITY_DN56909_c0_g1_i1.p2, TRINITY_DN107096_c0_g1_i1.p1, TRINITY_DN115239_c0_g1_i1.p1, TRINITY_DN51000_c0_g1_i4.p1, TRINITY_DN56596_c0_g1_i1.p1, TRINITY_DN55537_c0_g1_i1.p1	SPU_015079
OG0000060	TRINITY_DN65116_c0_g2_i1.p1	SPU_006491, SPU_003306, SPU_018959, SPU_025970, SPU_020134, SPU_009794, SPU_005601, SPU_000124, SPU_025971
OG0000061	TRINITY_DN2339_c0_g1_i1.p1, TRINITY_DN2339_c0_g1_i9.p1, TRINITY_DN2339_c0_g1_i8.p2, TRINITY_DN66594_c0_g1_i2.p1	SPU_019327, SPU_030264, SPU_022179, SPU_011836, SPU_022178, SPU_030262
OG0000062	TRINITY_DN47374_c0_g1_i1.p3, TRINITY_DN83297_c0_g1_i1.p1, TRINITY_DN114409_c0_g1_i1.p1, TRINITY_DN45213_c0_g1_i19.p3, TRINITY_DN45213_c0_g1_i13.p1, TRINITY_DN45213_c0_g1_i23.p3, TRINITY_DN45213_c0_g1_i8.p2, TRINITY_DN45213_c0_g1_i10.p2, TRINITY_DN45213_c0_g1_i17.p2	SPU_020289
OG0000063	TRINITY_DN88804_c0_g1_i1.p1, TRINITY_DN61141_c0_g1_i1.p1, TRINITY_DN84024_c0_g1_i1.p1, TRINITY_DN59271_c0_g1_i1.p1, TRINITY_DN99157_c0_g1_i1.p1, TRINITY_DN70684_c0_g1_i1.p1	SPU_007647, SPU_010262, SPU_011883, SPU_010261
OG0000064	TRINITY_DN108215_c0_g1_i1.p2	SPU_026502
OG0000064	TRINITY_DN19408_c1_g1_i1.p1, TRINITY_DN13624_c0_g2_i1.p2, TRINITY_DN29255_c0_g1_i8.p1, TRINITY_DN23883_c0_g1_i4.p1, TRINITY_DN23883_c0_g1_i5.p1	SPU_015858, SPU_021300, SPU_007144
OG0000065	TRINITY_DN18411_c0_g1_i18.p1, TRINITY_DN18411_c0_g1_i10.p1, TRINITY_DN18411_c0_g1_i5.p1, TRINITY_DN18411_c0_g1_i4.p1, TRINITY_DN18411_c0_g1_i7.p1, TRINITY_DN57765_c0_g1_i1.p1, TRINITY_DN25113_c0_g1_i3.p1, TRINITY_DN34571_c0_g1_i1.p1	SPU_028080, SPU_000933
OG0000066	TRINITY_DN57829_c0_g1_i1.p1	SPU_022759, SPU_016709, SPU_006655
OG0000066	TRINITY_DN48704_c0_g1_i2.p1	SPU_004170, SPU_021335, SPU_015037, SPU_028108, SPU_000614
OG0000067	TRINITY_DN50154_c0_g1_i7.p1, TRINITY_DN50154_c0_g1_i1.p1	SPU_026243
OG0000067	TRINITY_DN107352_c0_g1_i1.p1	SPU_026244, SPU_026245, SPU_007469
OG0000067	TRINITY_DN50154_c0_g1_i8.p1	SPU_020122, SPU_026006
OG0000068	TRINITY_DN46617_c0_g1_i1.p1, TRINITY_DN99392_c0_g1_i1.p3, TRINITY_DN63205_c0_g1_i1.p1, TRINITY_DN63205_c0_g1_i2.p2, TRINITY_DN63205_c0_g1_i2.p1, TRINITY_DN72140_c0_g1_i8.p2, TRINITY_DN72140_c0_g1_i8.p3, TRINITY_DN72140_c0_g1_i5.p2	SPU_017199, SPU_003196
OG0000069	TRINITY_DN71983_c0_g1_i2.p1	SPU_017400, SPU_007299, SPU_016480, SPU_007298, SPU_028293, SPU_005619, SPU_010016, SPU_017822, SPU_020044
OG0000070	TRINITY_DN104332_c0_g1_i1.p1	SPU_022019
OG0000070	TRINITY_DN112173_c0_g1_i1.p1, TRINITY_DN79490_c0_g2_i1.p1, TRINITY_DN79490_c0_g1_i1.p1	SPU_008291, SPU_025351, SPU_027761, SPU_014666, SPU_014667
OG0000071	TRINITY_DN39802_c0_g1_i3.p1, TRINITY_DN39802_c0_g1_i4.p1, TRINITY_DN39802_c0_g1_i6.p1	SPU_022520, SPU_003435, SPU_022523, SPU_008831, SPU_022521, SPU_012803, SPU_022522
OG0000072	TRINITY_DN114113_c0_g1_i1.p1	SPU_017545, SPU_016309, SPU_017544, SPU_006652, SPU_003191
OG0000072	TRINITY_DN107540_c0_g1_i1.p2	SPU_018147, SPU_003192, SPU_025326
OG0000073	TRINITY_DN122_c7_g1_i3.p4	SPU_020088, SPU_016515, SPU_023151, SPU_012339, SPU_008974, SPU_015835, SPU_014467, SPU_006099
OG0000074	TRINITY_DN2680_c0_g1_i4.p1	SPU_005375, SPU_003635, SPU_010004, SPU_017620
OG0000074	TRINITY_DN839_c0_g1_i4.p1	SPU_008369, SPU_018112, SPU_000526
OG0000075	TRINITY_DN30680_c0_g1_i1.p1, TRINITY_DN10659_c0_g1_i1.p1, TRINITY_DN96495_c0_g1_i1.p1	SPU_002586, SPU_024902, SPU_002708, SPU_002707, SPU_027912, SPU_024901
OG0000076	TRINITY_DN44069_c0_g1_i1.p2, TRINITY_DN10604_c0_g1_i1.p2	SPU_028557, SPU_009972, SPU_009973, SPU_009971, SPU_010931, SPU_008444, SPU_009967
OG0000077	TRINITY_DN27256_c0_g1_i7.p2, TRINITY_DN27256_c0_g1_i11.p2, TRINITY_DN490_c1_g1_i4.p1, TRINITY_DN27256_c0_g1_i3.p1, TRINITY_DN27256_c0_g1_i5.p1, TRINITY_DN27256_c0_g1_i11.p1, TRINITY_DN27256_c0_g1_i7.p1	SPU_024491, SPU_003146
OG0000078	TRINITY_DN5976_c1_g1_i8.p1, TRINITY_DN5976_c1_g1_i7.p1, TRINITY_DN8523_c0_g1_i9.p2, TRINITY_DN49477_c0_g1_i3.p1, TRINITY_DN104782_c0_g1_i1.p1, TRINITY_DN31913_c0_g1_i10.p1, TRINITY_DN31913_c0_g1_i5.p1, TRINITY_DN114256_c0_g1_i1.p1	SPU_011622
OG0000079	TRINITY_DN106572_c0_g1_i1.p1	SPU_013626, SPU_012593, SPU_026276, SPU_013762
OG0000079	TRINITY_DN56257_c0_g1_i1.p1	SPU_024824, SPU_003664, SPU_022744
OG0000080	TRINITY_DN62694_c0_g1_i2.p1	SPU_006987
OG0000080	TRINITY_DN96356_c0_g1_i1.p1	SPU_013849, SPU_013847, SPU_013848, SPU_013845, SPU_006986, SPU_013846
OG0000081	TRINITY_DN65261_c0_g1_i2.p1	SPU_026570, SPU_015617, SPU_018846, SPU_018847, SPU_024905, SPU_024910, SPU_024906, SPU_019528
OG0000083	TRINITY_DN12263_c0_g1_i7.p1, TRINITY_DN12263_c0_g1_i5.p1, TRINITY_DN12263_c0_g1_i13.p1, TRINITY_DN12263_c0_g1_i2.p1	SPU_007871
OG0000083	TRINITY_DN31023_c0_g1_i2.p1, TRINITY_DN68384_c0_g1_i1.p1, TRINITY_DN106887_c0_g1_i1.p1	SPU_027321
