Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
HY_29_LB_S16_L002_R1_001	pass	0.0	warn	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	24105740.0	pass	fail	warn	44.0	50.706012392	HY_29_LB_S16_L002_R1_001.fastq.gz	warn	pass
HY_29_LC_S24_L002_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	28764066.0	pass	fail	warn	44.0	49.2615605595	HY_29_LC_S24_L002_R1_001.fastq.gz	warn	pass
HY_33_4CA_S30_L003_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	25145846.0	pass	fail	warn	45.0	46.4493930705	HY_33_4CA_S30_L003_R1_001.fastq.gz	pass	pass
HY_33_4CB_S38_L004_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	31403947.0	pass	fail	warn	45.0	42.9363145455	HY_33_4CB_S38_L004_R1_001.fastq.gz	pass	pass
HY_33_4CC_S46_L004_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	29739139.0	pass	fail	warn	45.0	39.4824482497	HY_33_4CC_S46_L004_R1_001.fastq.gz	pass	pass
HY_33_BA_S76_L007_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	29131833.0	pass	fail	warn	46.0	40.6463274738	HY_33_BA_S76_L007_R1_001.fastq.gz	fail	pass
HY_33_BB_S83_L008_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	fail	37606429.0	pass	fail	warn	43.0	45.5968012625	HY_33_BB_S83_L008_R1_001.fastq.gz	warn	pass
HY_33_BC_S89_L008_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	fail	36037385.0	pass	fail	warn	43.0	47.6491449481	HY_33_BC_S89_L008_R1_001.fastq.gz	warn	pass
HY_33_GA_S31_L003_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	29710829.0	pass	fail	warn	45.0	47.414172652	HY_33_GA_S31_L003_R1_001.fastq.gz	pass	pass
HY_33_GB_S39_L004_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	34667713.0	pass	fail	fail	44.0	46.671245169	HY_33_GB_S39_L004_R1_001.fastq.gz	pass	pass
HY_33_GC_S47_L004_R1_001	pass	0.0	warn	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	25074407.0	pass	fail	warn	43.0	51.0049304625	HY_33_GC_S47_L004_R1_001.fastq.gz	pass	pass
HY_33_LA_S77_L007_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	30073312.0	pass	fail	warn	46.0	46.8376923775	HY_33_LA_S77_L007_R1_001.fastq.gz	fail	pass
HY_33_LC_S90_L008_R1_001	pass	0.0	pass	101.0	Sanger / Illumina 1.9	pass	pass	pass	101.0	Conventional base calls	pass	fail	380.0	pass	fail	warn	44.0	97.1052631579	HY_33_LC_S90_L008_R1_001.fastq.gz	pass	pass
